BookingReference,Created Date,Reference,Attendee Status,Attended,Event Code
B943291,17/02/2021,A1011230,Attending,,MSE21
B943369,17/02/2021,A1011308,Attending,,MSE21
B943377,17/02/2021,A1011316,Attending,,MSE21
B943435,17/02/2021,A1011374,Attending,,MSE21
B943551,17/02/2021,A1011490,Attending,,MSE21
B943551,17/02/2021,A1011491,Attending,,MSE21
B943656,18/02/2021,A1011596,Attending,,MSE21
B943656,18/02/2021,A1011597,Attending,,MSE21
B943657,18/02/2021,A1011598,Attending,,MSE21
B943659,18/02/2021,A1011600,Attending,,MSE21
B943721,18/02/2021,A1011662,Attending,,MSE21
B943753,18/02/2021,A1011695,Attending,,MSE21
B943783,18/02/2021,A1011725,Attending,,MSE21
B943786,18/02/2021,A1011728,Attending,,MSE21
B943791,18/02/2021,A1011733,Attending,,MSE21
B943793,18/02/2021,A1011735,Attending,,MSE21
B943793,18/02/2021,A1011736,Attending,,MSE21
B943800,18/02/2021,A1011743,Attending,,MSE21
B943801,18/02/2021,A1011744,Attending,,MSE21
B943805,18/02/2021,A1011748,Attending,,MSE21
B943816,18/02/2021,A1011759,Attending,,MSE21
B943825,18/02/2021,A1011768,Attending,,MSE21
B943827,18/02/2021,A1011770,Attending,,MSE21
B943830,18/02/2021,A1011773,Attending,,MSE21
B943835,18/02/2021,A1011778,Attending,,MSE21
B943840,18/02/2021,A1011783,Attending,,MSE21
B943841,18/02/2021,A1011784,Attending,,MSE21
B943842,18/02/2021,A1011785,Attending,,MSE21
B943844,18/02/2021,A1011787,Attending,,MSE21
B943846,18/02/2021,A1011789,Attending,,MSE21
B943847,18/02/2021,A1011790,Attending,,MSE21
B943853,18/02/2021,A1011796,Attending,,MSE21
B943855,18/02/2021,A1011798,Attending,,MSE21
B943857,18/02/2021,A1011800,Attending,,MSE21
B943858,18/02/2021,A1011801,Attending,,MSE21
B943863,18/02/2021,A1011806,Attending,,MSE21
B943866,18/02/2021,A1011809,Attending,,MSE21
B943872,18/02/2021,A1011815,Attending,,MSE21
B943873,18/02/2021,A1011816,Attending,,MSE21
B943873,18/02/2021,A1011817,Attending,,MSE21
B943873,18/02/2021,A1011818,Attending,,MSE21
B943874,18/02/2021,A1011819,Attending,,MSE21
B943879,18/02/2021,A1011824,Attending,,MSE21
B943879,18/02/2021,A1011825,Attending,,MSE21
B943881,18/02/2021,A1011827,Attending,,MSE21
B943883,18/02/2021,A1011829,Attending,,MSE21
B943891,18/02/2021,A1011837,Attending,,MSE21
B943894,18/02/2021,A1011840,Attending,,MSE21
B943896,18/02/2021,A1011842,Attending,,MSE21
B943899,18/02/2021,A1011845,Attending,,MSE21
B943899,18/02/2021,A1011846,Attending,,MSE21
B943902,18/02/2021,A1011849,Attending,,MSE21
B943906,18/02/2021,A1011853,Attending,,MSE21
B943907,18/02/2021,A1011854,Attending,,MSE21
B943908,18/02/2021,A1011855,Attending,,MSE21
B943909,18/02/2021,A1011856,Attending,,MSE21
B943910,18/02/2021,A1011857,Attending,,MSE21
B943911,18/02/2021,A1011858,Attending,,MSE21
B943912,18/02/2021,A1011859,Attending,,MSE21
B943913,18/02/2021,A1011860,Attending,,MSE21
B943916,18/02/2021,A1011863,Attending,,MSE21
B943916,18/02/2021,A1011864,Cancelled,,MSE21
B943917,18/02/2021,A1011865,Attending,,MSE21
B943918,18/02/2021,A1011866,Attending,,MSE21
B943919,18/02/2021,A1011867,Attending,,MSE21
B943920,18/02/2021,A1011868,Attending,,MSE21
B943922,18/02/2021,A1011870,Attending,,MSE21
B943927,18/02/2021,A1011875,Attending,,MSE21
B943931,18/02/2021,A1011879,Attending,,MSE21
B943932,18/02/2021,A1011880,Attending,,MSE21
B943934,18/02/2021,A1011882,Attending,,MSE21
B943936,18/02/2021,A1011884,Attending,,MSE21
B943940,18/02/2021,A1011888,Attending,,MSE21
B943941,18/02/2021,A1011889,Attending,,MSE21
B943944,18/02/2021,A1011892,Attending,,MSE21
B943949,18/02/2021,A1011897,Attending,,MSE21
B943950,18/02/2021,A1011898,Attending,,MSE21
B943954,18/02/2021,A1011902,Attending,,MSE21
B943960,18/02/2021,A1011908,Attending,,MSE21
B943960,18/02/2021,A1011909,Attending,,MSE21
B943965,18/02/2021,A1011914,Attending,,MSE21
B943967,18/02/2021,A1011916,Attending,,MSE21
B943968,18/02/2021,A1011917,Attending,,MSE21
B943969,18/02/2021,A1011918,Attending,,MSE21
B943975,18/02/2021,A1011924,Attending,,MSE21
B943976,18/02/2021,A1011925,Attending,,MSE21
B943978,18/02/2021,A1011927,Attending,,MSE21
B943979,18/02/2021,A1011928,Attending,,MSE21
B943983,18/02/2021,A1011932,Attending,,MSE21
B943984,18/02/2021,A1011933,Attending,,MSE21
B943986,18/02/2021,A1011935,Attending,,MSE21
B943989,18/02/2021,A1011938,Attending,,MSE21
B943990,18/02/2021,A1011939,Attending,,MSE21
B943994,18/02/2021,A1011943,Attending,,MSE21
B943998,18/02/2021,A1011947,Attending,,MSE21
B944000,18/02/2021,A1011949,Attending,,MSE21
B944003,18/02/2021,A1011952,Attending,,MSE21
B944016,18/02/2021,A1011965,Attending,,MSE21
B944024,18/02/2021,A1011973,Attending,,MSE21
B944024,18/02/2021,A1011974,Attending,,MSE21
B944040,18/02/2021,A1011990,Attending,,MSE21
B944045,18/02/2021,A1011995,Attending,,MSE21
B944047,18/02/2021,A1011997,Attending,,MSE21
B944048,18/02/2021,A1011998,Attending,,MSE21
B944050,18/02/2021,A1012000,Attending,,MSE21
B944079,18/02/2021,A1012029,Attending,,MSE21
B944080,18/02/2021,A1012030,Attending,,MSE21
B944094,18/02/2021,A1012044,Attending,,MSE21
